Fecha de creacion;Estado;Ubicacion;Origen;Modelo;Precio de la publicacion;Precio de la reserva;Gastos administrativo;Seguro base;Precio final;Check-in;Check-out;Dias de Alquiler;Pago de garantia;Monto de la garantia;Devolución Garantia;Provincia;Marca
2024-12-01 11:55:20.519032;CANCELADA;Gobernador Duval, Santa Rosa, La Pampa Province, Argentina;WEB;Ranger;70000;280000;23800;22000;349400;30/12/24 10:00;2/1/25 12:00;4;NO;400000;NO;La Pampa;Ford
2024-12-01 12:41:15.321837;CANCELADA;Celedonio Gutiérrez 1287, San Miguel de Tucumán, Tucumán Province, Argentina;WEB;Kangoo;62000;310000;26350;27500;363850;10/1/25 11:00;14/1/25 16:30;5;NO;400000;NO;Tucumán;Ford
2024-12-01 16:37:53.300474;CANCELADA;Av. Lope de Vega 2247, Buenos Aires, Argentina;WEB;Spin;75000;600000;51000;44000;695000;4/1/25 15:00;11/1/25 17:00;8;NO;400000;NO;Buenos Aires;Chevrolet
2024-12-02 12:43:49.469179;CANCELADA;Costa Rica 3966, Buenos Aires, Argentina;;Kwid;50000;50000;4250;5500;65650;5/12/24 12:30;6/12/24 12:30;1;SI;400000;NO;Buenos Aires;Renault
2024-12-02 13:10:59.301507;COMPLETADA;Bolívar 355, Buenos Aires, Argentina;;Logan;60000;300000;25500;27500;382500;21/12/24 17:00;26/12/24 17:00;5;SI;400000;NO;Buenos Aires;Renault
2024-12-02 18:33:31.473468;CANCELADA;Rafaela 4788, Buenos Aires, Argentina;;Sandero;60000;480000;30600;33000;612000;12/12/24 16:00;20/12/24 16:00;8;NO;400000;NO;Buenos Aires;Renault
2024-12-02 19:20:59.979470;CANCELADA;Av. Lope de Vega 2247, Buenos Aires, Argentina;APP;Cronos  1.3;45000;45000;3825;5500;60225;7/12/24 9:00;8/12/24 9:00;1;NO;400000;NO;Buenos Aires;Fiat
2024-12-03 09:30:58.361068;CANCELADA;Costa Rica 3966, Buenos Aires, Argentina;;Kwid;50000;50000;4250;5500;65650;7/12/24 9:00;8/12/24 9:00;1;NO;400000;NO;Buenos Aires;Renault
2024-12-04 09:47:39.137687;COMPLETADA;San Miguel de Tucumán;;C3 1.5I FEEL;50000;200000;17000;22000;239000;6/12/24 8:00;9/12/24 19:30;4;SI;400000;NO;Tucumán;Citroen
2024-12-04 10:21:21.234069;CANCELADA;Costa Rica 3966, ADB, Buenos Aires, Argentina;APP;Sandero;49000;147000;12495;16500;193695;28/12/24 7:00;30/12/24 23:00;3;NO;400000;NO;Buenos Aires;Renault
2024-12-04 11:42:06.674003;CANCELADA;Martínez, San Isidro, Buenos Aires Province, Argentina;APP;208;55000;165000;14025;16500;195525;23/12/24 11:41;26/12/24 11:41;3;NO;400000;NO;Buenos Aires;Peugeot
2024-12-04 12:34:36.260730;CANCELADA;CABA, Buenos Aires, Argentina;;Duster;60000;960000;81600;88000;1280000;17/12/24 9:00;2/1/25 9:00;16;NO;400000;NO;Buenos Aires;Renault
2024-12-04 22:33:24.635476;CANCELADA;Celedonio Gutiérrez 1287, San Miguel de Tucumán, Tucumán Province, Argentina;WEB;Kangoo;62000;248000;21080;22000;291080;11/1/25 22:32;15/1/25 22:32;4;NO;400000;NO;Tucumán;Ford
2024-12-05 07:09:00.954070;CANCELADA;Costa Rica 3966, ADB, Buenos Aires, Argentina;WEB;Sandero;49000;245000;20825;27500;293325;28/12/24 8:00;2/1/25 8:00;5;NO;400000;NO;Buenos Aires;Renault
2024-12-05 10:27:10.535969;CANCELADA;Costa Rica 3966, Buenos Aires, Argentina;;Kwid;50000;100000;8500;11000;119500;13/12/24 12:00;15/12/24 12:00;2;NO;400000;NO;Buenos Aires;Renault
2024-12-05 13:20:51.588529;CANCELADA;Costa Rica 3966, Buenos Aires, Argentina;;Kwid;50000;300000;25500;33000;358500;31/12/24 12:00;6/1/25 12:00;6;NO;400000;NO;Buenos Aires;Renault
2024-12-05 13:42:57.273665;CANCELADA;Costa Rica 3966, Buenos Aires, Argentina;;Kwid;50000;300000;25500;33000;358500;31/12/24 12:00;6/1/25 12:00;6;NO;400000;NO;Buenos Aires;Renault
2024-12-05 14:07:24.757244;CANCELADA;Costa Rica 3966, Buenos Aires, Argentina;;Kwid;50000;500000;42500;55000;656500;29/12/24 9:00;7/1/25 10:00;10;NO;400000;NO;Buenos Aires;Renault
2024-12-05 16:21:00.018290;CANCELADA;Luna 456, Buenos Aires, Argentina;APP;Prisma 1.4 LT;49000;245000;20825;27500;322825;22/1/25 16:19;27/1/25 16:19;5;NO;400000;NO;Buenos Aires;Chevrolet
2024-12-05 17:39:46.799087;CANCELADA;Costa Rica 3966, ADB, Buenos Aires, Argentina;APP;Sandero;49000;245000;20825;27500;293325;28/12/24 17:38;2/1/25 17:38;5;NO;400000;NO;Buenos Aires;Renault
2024-12-05 17:41:15.757576;CANCELADA;Costa Rica 3966, ADB, Buenos Aires, Argentina;APP;Sandero;49000;245000;20825;27500;322825;28/12/24 17:40;2/1/25 17:40;5;NO;400000;NO;Buenos Aires;Renault
2024-12-05 18:40:03.404595;CANCELADA;Av. Lope de Vega 2247, Buenos Aires, Argentina;APP;Cronos  1.3;45000;135000;11475;16500;162975;5/12/24 18:39;8/12/24 18:39;3;NO;400000;NO;Buenos Aires;Fiat
